Id,Predicted
114982,374984.70430525177
95653,472733.56385991967
40303,331697.6145650569
109506,362176.6065824291
100149,517129.21023088734
7610,290655.6500392217
61101,355270.31402484304
68167,351600.0626018619
65701,309436.8764513803
56039,304524.0634054763
81919,473210.84191878873
99768,441972.36583379254
124053,598301.541812228
3942,338505.8694085337
118904,494031.43917728367
30060,431302.063468421
185729,480960.55284241086
46357,790176.521693405
20662,411474.4151681996
102274,493293.6808907626
53369,268404.35875178996
9719,323793.3611295361
20145,328682.2737211668
159051,628077.2829223955
31481,342324.05916847155
142247,426095.59148172376
29119,333693.4986405735
151448,430802.7971827765
60594,291810.76199579856
83400,558004.8294613507
40168,299216.7524400084
52407,433892.73561769945
127232,448155.83234499744
131188,472761.91722728213
952,236561.3808826522
166230,439801.451411972
144844,461806.09320192836
33207,333100.3289076995
28355,744078.496123021
179918,570469.6090082767
162451,653749.7614656533
19390,259183.90303960253
114861,437656.76348155463
132259,396206.19804985117
180033,616855.4883922717
97052,505412.42639225535
94224,418644.2955020556
32295,495843.37195081875
171908,701772.7152013355
80236,471103.0462058126
156193,427725.47911553393
54494,275606.82241251104
174530,553127.1445454059
143835,404072.68326680013
26275,297251.60515613144
61627,499938.27285354293
49813,307378.5239673431
3466,580834.0452608902
117691,481269.92202284397
132738,561918.7130120103
114211,533336.7716675253
116741,442237.2557043188
39246,348092.352308149
150011,382764.9251464513
182319,497163.95194150566
32441,277416.8042078133
18842,283247.480769597
99428,401759.56302332226
96435,471151.8944058739
134803,413471.3167656078
171636,614507.2263765782
115944,544653.3432934876
149001,509821.02004977805
19084,312260.32028345444
178128,593873.4306582585
74818,435545.4137712981
49603,333872.51580480265
86262,583586.3672292271
14520,268739.31936621724
57209,700858.6580955071
148575,533083.3399811431
33,218306.55614867224
180401,558190.5651476464
87114,412827.37974928133
16450,335118.89793729584
28848,358111.1333704366
11519,272486.16469909373
7202,285329.87402351754
2843,246635.0472458964
156073,476693.00670364127
132217,403428.7082819541
140349,513574.58284782316
34614,297008.32464209467
135594,425927.3849970122
170933,695022.2181504364
62586,444875.2319155415
145868,412075.62413936434
15155,237712.8993683633
61290,342198.0235901059
184569,529855.9891689357
169996,421625.9997159808
7026,373269.1989807068
128356,396206.19804985117
134501,482890.73674143525
163406,584545.2170346949
56796,436537.13635903754
174870,599546.5382241721
142554,568435.9833658655
59547,286083.31065276294
143113,423807.77794516645
154091,459477.39384276216
61191,455561.92278768035
135899,420937.4452360584
172405,575994.542842841
184121,474909.98061350785
1063,354307.76719219884
6348,324322.63633117726
79995,498671.2464474294
50573,305465.6388995508
79894,453118.2876602702
113553,409933.1104555095
31931,412550.76211078913
86645,432104.4733388812
123780,416185.42484442994
142940,481320.16669890424
138987,506732.0615715869
41502,279986.16117963276
100104,598752.6842928192
83570,478506.40250457986
181648,564083.102722243
68406,444789.92697364476
114567,373038.08872473106
5470,435423.4656251089
176926,665179.5580155705
173013,433871.58549139
110219,453523.8579894268
52178,268484.93170138425
120569,516813.38184936857
132710,470077.59247046016
10478,353122.00800305034
100309,768407.0204662153
76446,366231.87412303494
140674,421738.10265998455
122786,547006.2860467288
66214,461106.1277820502
120240,384956.71070411225
113802,438484.8451573462
169747,465935.24068600644
45819,327570.05029148236
36170,275335.5790117016
84049,481531.14804929483
104675,386693.6069010401
66165,749880.7074964205
92499,414440.361218439
107783,500882.48930791003
148441,464823.25560166716
12344,268060.8334686175
93256,535776.1892425959
48139,507946.9442413217
101908,388077.4017947152
134084,431086.7306735552
17216,265773.4204866279
